,Target,features
0,1.0,"(122.69466495513916, 67.42209007817449, 527293, 39158, 0.004321364161666001, 819.3718931364672, -0.3239262206541198, 0.6183077492724226, -0.38121067688338084, -0.07755613496650689, -0.9208223719320443)"
1,0.0,"(112.65346240997314, 52.98528343949025, 524592, 66323, 0.0014986602982373746, 817.2706279144678, 0.046642930245611336, 0.28917519437976846, 0.549456654110657, 1.0111720156077073, 0.7137415614012205)"
2,1.0,"(115.28695011138916, 72.90617349585757, 528479, 34922, 0.005445520315332275, 820.2928509758536, -0.738466277866795, -1.0848665224078964, -0.9631377985466008, -2.2421844574969128, -1.428390524329759)"
3,1.0,"(103.53450202941895, 62.4869716018766, 527289, 43309, 0.003532663436706434, 819.3687852877111, -0.9716525586263841, -1.4147030245721626, 0.03014337715998851, 0.28781570681823493, 0.6617457988154979)"
4,1.0,"(104.4272346496582, 70.35634993343338, 520369, 33973, 0.005665698791444759, 813.9744398040345, 0.5613606613925919, 1.4038675158432858, 3.662562794776457, -7.462288320369378, -4.484363344030827)"
5,0.0,"(155.72608757019043, 49.639264393217125, 526268, 26088, 0.009717068309050845, 818.5751210052041, -1.1084236664542437, -1.4068575650696054, -1.6373634411195417, 3.77942396832378, 2.259586170531232)"
6,0.0,"(135.58649730682373, 49.948465556849094, 526363, 36156, 0.005059812948335128, 818.6490007844842, -0.5601234908948842, -0.05681952515941046, -1.1816120986734138, -2.314002952454396, -1.1500018138844608)"
7,1.0,"(126.82362461090088, 72.8706095215795, 527509, 34814, 0.005469301787525661, 819.5396994677567, -0.6275740918595881, -0.38248248930754564, -1.0470870147263218, 2.191828392505033, 0.8342031270711932)"
8,1.0,"(105.8078556060791, 36.442997318265185, 524818, 68881, 0.0013900156787547229, 817.4466535431035, -0.5777809766742805, -0.8813918860559362, -0.7483349801389405, -1.6696195726844332, -1.0992751639476759)"
9,0.0,"(168.01630306243896, 66.7108670246868, 528464, 40896, 0.003970668288377025, 820.2812095671356, -0.7920347252544572, -0.8367507473451208, -1.2728101166001096, -2.1602143314492914, 1.2531050585328622)"
10,1.0,"(134.7631607055664, 66.642227911199, 529902, 42729, 0.003647203237255097, 821.3964823605298, -0.6839211541037096, -0.93797399819701, -1.5537437177294415, -3.276923982938691, -1.9154282917747383)"
11,1.0,"(121.17125606536865, 68.94343087417256, 523615, 38403, 0.004461610347533579, 816.5092309438407, -0.9476082006261208, -1.4073506892289744, -1.6966186185960204, 3.578691931775637, 2.3710147635748497)"
12,1.0,"(160.87285232543945, 72.62997023052438, 525191, 32460, 0.006263687873036882, 817.7370908421635, -1.0488717067401951, -1.8727054227167201, -1.6433070836232406, -3.514231856974458, -1.4734903239552586)"
13,1.0,"(116.00332832336426, 76.38456214435294, 514236, 30338, 0.007020991495081105, 809.1635252076252, -0.8368077979465754, -1.391779222928236, -1.5853399594267545, -3.2755941699078193, -2.2082205482437316)"
14,1.0,"(165.5649585723877, 58.805329013632516, 523745, 37079, 0.004787113539292362, 816.6105836672201, 0.4751889805458688, 1.5553331253937646, 2.5565819570955974, 5.202103762957948, -3.3441112825096218)"
15,0.0,"(116.23654365539551, 44.68400554872114, 530175, 44711, 0.003332731623164686, 821.6080425786769, -0.5629680732217636, -0.6802766052841808, -1.4833985323220713, -2.9840013894702095, -1.815833155672774)"
16,1.0,"(116.08201789855957, 67.42394491788615, 520446, 35150, 0.005293402039024602, 814.0346602566972, 0.5796363870844281, 1.5006907494963662, 3.428409823082399, 7.410134772825434, -4.431615470349614)"
17,0.0,"(117.12506198883057, 63.28745314909572, 518374, 66077, 0.00149194371881439, 812.4126265405686, -0.6837569344802356, -1.1224889983681017, -1.590546948156724, -3.3379631985121887, -1.8035938605145627)"
18,1.0,"(116.55154514312744, 74.40829555986654, 514515, 35570, 0.00511022678785962, 809.3830022674136, -0.552709747363731, 0.24431016156694665, -0.6751777517771882, 1.3602125456034846, 0.5470205443373749)"
19,1.0,"(128.6588363647461, 65.16834333411838, 519585, 30912, 0.0068330131954233665, 813.3610322920687, -0.8802509253890682, -1.357668384884974, -2.0249975090273358, -4.113173515992576, -2.7023611188683367)"
20,1.0,"(109.29820728302002, 34.99089672599501, 521627, 56076, 0.002084567069229483, 814.9577436907811, -0.6711075356382831, -0.9706839826796725, -1.5059712645679317, -2.992087999738379, -1.9860456792520802)"
21,1.0,"(105.16003036499023, 75.1387814863541, 516780, 35679, 0.005101409826880733, 811.1625804536582, -0.22432171032463272, 1.0338263183269691, -0.18815198866271718, 0.08790950484072305, 1.1059130572065927)"
22,0.0,"(160.82653999328613, 47.31216154446821, 530460, 42044, 0.003770981919669429, 821.8288440424894, 0.551305065746609, 1.353475540972974, 3.822302292358056, -9.793479956993577, 4.894412107990218)"
23,1.0,"(110.49115562438965, 64.98002307241904, 526343, 37386, 0.004732174078084948, 818.6334477008253, 0.5694563883483346, 1.5109055781164409, 3.4700526545652837, -6.8310942951482065, -4.780520073039271)"
24,1.0,"(116.52534580230713, 63.97660883262527, 529876, 42737, 0.0036456590291980484, 821.3763309263842, -0.9109837021921635, -1.4474750292269576, 1.0595774570039889, 0.6942462419741153, -0.4881917799470883)"
25,1.0,"(165.93542098999023, 40.5769221050688, 522145, 59530, 0.0018515234741221178, 815.3622888543114, -0.5150142698184013, -0.7392669898149857, -0.09317522974918051, -0.2979594194646431, -0.38238004895738775)"
26,1.0,"(107.18679809570312, 35.60835730635797, 526646, 59819, 0.0018494830554499427, 818.869045254853, -0.8891932951583443, -0.948765503497425, -0.6422478987185246, 1.45116577353064, -0.7292462711488068)"
27,0.0,"(116.27243518829346, 52.25564846474332, 531541, 40297, 0.00411340245086115, 822.665801433409, -0.8493113010192794, -1.6029376487346594, -1.445721344400522, -2.6301391556298848, -2.2455273397328073)"
28,0.0,"(102.17736053466797, 55.44356476336834, 527729, 54199, 0.002257554674709745, 819.7105780112531, -0.242762046620554, -0.029789718111891673, 0.5077016327077546, 1.1702095256592864, 0.5224250838701412)"
29,1.0,"(154.15007877349854, 63.89143116389723, 529816, 47669, 0.0029299678214880355, 821.3298257298374, 0.5389380418363582, 1.2640835557084749, 3.988842980210839, 8.304731766088237, -5.460070410383585)"
30,0.0,"(114.19453716278076, 63.37794152190169, 528852, 62209, 0.0017172660130732448, 820.5822808910026, -0.535982817165011, -0.5549331515976217, -1.00017861868641, -1.6917238477531003, -1.1436879302753094)"
31,0.0,"(115.42904567718506, 44.054416850381344, 532121, 34628, 0.0055765480021557744, 823.1145119508096, -0.7998699296611684, -1.23855214721552, -1.0598731539549162, -2.4136596752621964, -1.5801289355389712)"
32,1.0,"(141.63730239868164, 49.04698913987784, 522059, 31500, 0.0066116269857009165, 815.2951388821684, -0.8909992071656535, -0.9785342632920738, -0.6439238532735281, -1.4693144409243373, -0.9503897646161051)"
33,1.0,"(112.24143505096436, 66.89999577488192, 525253, 39637, 0.0042012338136716435, 817.7853572856257, -0.8819870918552253, -1.1281465625135805, 0.16673535732006375, -0.16420579727025114, 0.23861232564077978)"
34,1.0,"(114.67673110961914, 64.74918236012014, 522849, 46848, 0.0029936707611649335, 815.9117738611419, 0.4878285634928773, 1.384355023703888, 2.813258940973137, -5.513871708782975, -3.9439708353682565)"
35,0.0,"(65.30221652984619, 52.59349214567317, 526813, 41162, 0.003907269891040332, 818.9988670813686, -0.7160097135383946, -0.6531870041845627, -1.2152387685128023, 2.51657822710078, 1.5189665868581088)"
36,1.0,"(136.28890228271484, 68.07813887613248, 533033, 42740, 0.0036668650350410283, 823.8195762719031, -1.3901853711489647, -2.59222488611269, -2.6497819160611717, -5.288492128219568, 3.5968139210199657)"
37,0.0,"(122.20209121704102, 67.44297585341775, 525878, 26667, 0.009292799024422664, 818.2717551683169, -0.9092239991933934, -1.5313691916139194, -1.6155307353921928, -2.2662233291027167, -2.328630025861289)"
38,0.0,"(98.17561435699463, 61.15101510290216, 509757, 91153, 0.0007709587273480626, 805.6319076386948, -0.6353742034770513, -0.8591390095073992, -1.7513404643889776, -3.5366494368697055, 1.0943945485437248)"
39,1.0,"(130.32693481445312, 70.42150939423067, 526730, 26404, 0.009494202057965351, 818.9343474286277, -0.7905734339904587, -1.3825827485007132, -2.2241594260800017, -4.347583929407141, -2.907565943305922)"
40,1.0,"(117.34941577911377, 70.43588205493027, 517076, 32309, 0.006224682607063564, 811.3948550696381, -0.8719080712254959, -0.750850545705096, -1.1475062484558833, 2.386925690500654, -1.4321214206745845)"
41,1.0,"(155.59507846832275, 63.332878146842695, 527939, 38484, 0.004479537715957883, 819.873656125099, -0.7252913766713233, -0.7472979540653333, -1.3977586578936725, 3.191972767452885, 1.6683976098448696)"
42,1.0,"(103.91219997406006, 36.40802908798947, 526719, 72498, 0.00125932201892468, 818.9257962497946, 0.5438401496249889, 1.3287356715561272, 3.7413324382543847, 7.443467511410274, 5.0251766973193135)"
43,1.0,"(121.29246520996094, 68.07640791881873, 525792, 33323, 0.005950256011165944, 818.2048439757557, -0.5605851100920799, 0.11731923762257253, -0.2965100732856214, 0.6378060060209111, 0.234288155519044)"
44,1.0,"(117.97751045227051, 62.50137545522846, 527543, 41755, 0.0038023382877649435, 819.5661102975292, 0.49726873684509654, 1.2538643871115769, 2.6634422489994862, 5.098138151966045, 3.291219544024834)"
45,1.0,"(110.54074382781982, 70.27021441225301, 525170, 39185, 0.0042980362212887155, 817.7207418847619, -0.6789470540067425, -1.2345182935674544, -1.2794378888817135, -2.6767255436636805, -1.8675244434704874)"
46,1.0,"(107.80329704284668, 72.2853262210275, 508486, 32883, 0.005909435532721493, 804.6269217122951, 0.5794685905575605, 2.5166749980187877, 3.646967555604841, -7.627590845584161, -4.975908365070472)"
47,0.0,"(107.4451789855957, 61.52192462075901, 528317, 32158, 0.006419872275125827, 820.167115017328, -0.8187833404027035, -1.135520347020979, -1.0625330292513688, 1.4241173962216238, 1.2343652183132003)"
48,0.0,"(97.64190006256104, 43.71263550176385, 530973, 85103, 0.0009212819492603992, 822.2261372558426, -0.25189106787908994, 0.16885318918831663, 0.05983370840878791, 0.27346525559986734, 0.7730079628476774)"
49,0.0,"(112.34480285644531, 53.32335365280677, 523242, 65282, 0.0015428565861357701, 816.2183567320182, -0.5553789875768126, -0.5150793036862118, -0.2837441438436738, 0.11708660824673256, -0.29425369607392443)"
50,1.0,"(115.17326927185059, 64.46736362757713, 520178, 32162, 0.006319398596185659, 813.8250425621268, -1.0196574171140864, -1.766989709936109, -1.515380521856117, -3.1844228303871076, -2.270896003171017)"
51,1.0,"(114.6011323928833, 65.17185683589538, 523108, 46588, 0.003028677925822366, 816.1138350544742, 0.6291797046552807, 1.7239476658837043, 3.293772578504221, 6.60625676794703, 4.155774925943448)"
52,0.0,"(159.50681686401367, 35.22536504911067, 536250, 34254, 0.005743208491390807, 826.3018249188556, -0.7597082267291062, -1.0487325527426992, -1.260281869215294, -2.594608384481299, -1.1357957032152128)"
53,0.0,"(106.79792022705078, 58.77985693234064, 518368, 45402, 0.003160080012931295, 812.4079248291937, 0.25083619070028407, 2.828690453319884, 0.997823840523803, 2.268338216314407, 3.136848138283329)"
54,0.0,"(123.98224639892578, 67.09836471528412, 525164, 51351, 0.002502689668564217, 817.716070694038, -0.7172037223029607, 0.09570606191663314, -1.4197474175642373, -2.1208587752438, 1.3709902310336222)"
55,1.0,"(111.36949253082275, 70.92597974386508, 512602, 41433, 0.0037522986782072784, 807.876931908774, 0.4362826789113721, 1.2058841897373804, 1.5041034643499025, 2.969250796493995, 2.107869670895782)"
56,1.0,"(153.1729383468628, 60.73157135779872, 529703, 32773, 0.006197405320431446, 821.242233792716, -0.9636204460498654, -1.460010761210671, -1.2373624130283654, -2.7104417236641294, -1.9472809081949816)"
57,0.0,"(137.91706085205078, 43.29514081516159, 532918, 41818, 0.0038295146634890983, 823.7307033862302, -0.8507622616407986, -1.3770282005369112, -1.3202256271860473, -2.4011273774713926, -1.9699657133905197)"
58,1.0,"(124.31159210205078, 56.58987573697715, 525501, 48452, 0.002812936923168865, 817.9783945788988, 0.5119118432141858, 2.0251867174592553, 1.9777772172116483, -4.319626713022172, 3.0855166765500974)"
